time	V(v0)	V(n001)
1.330275946324836e-01	-3.669005e+00	2.363890e+00
1.332229071324836e-01	-3.668853e+00	2.246513e+00
1.334182196324836e-01	-3.668700e+00	2.095347e+00
1.336135321324836e-01	-3.668548e+00	1.912664e+00
1.338088446324836e-01	-3.668396e+00	1.701214e+00
1.340041571324836e-01	-3.668243e+00	1.464175e+00
1.341994696324836e-01	-3.668091e+00	1.205114e+00
1.343947821324836e-01	-3.667938e+00	9.279271e-01
1.345900946324836e-01	-3.667786e+00	6.367831e-01
1.347854071324835e-01	-3.667634e+00	3.360613e-01
1.349807196324835e-01	-3.667481e+00	3.028479e-02
1.351760321324835e-01	-3.667329e+00	-2.759472e-01
1.353713446324835e-01	-3.667176e+00	-5.780287e-01
1.355666571324835e-01	-3.667024e+00	-8.714161e-01
1.357619696324835e-01	-3.666872e+00	-1.151697e+00
1.359572821324835e-01	-3.666719e+00	-1.414654e+00
1.361525946324835e-01	-3.666567e+00	-1.656335e+00
1.363479071324835e-01	-3.666414e+00	-1.873102e+00
1.365432196324834e-01	-3.666262e+00	-2.061696e+00
1.367385321324834e-01	-3.666110e+00	-2.219280e+00
1.369338446324834e-01	-3.665967e+00	-2.343485e+00
1.371291571324834e-01	-3.666131e+00	-2.432441e+00
1.373244696324834e-01	-3.668240e+00	-2.484811e+00
1.375197821324834e-01	-3.672534e+00	-2.499807e+00
1.376822112928598e-01	-3.675365e+00	-2.483634e+00
1.378775237928598e-01	-3.676401e+00	-2.429996e+00
1.380728362928598e-01	-3.676375e+00	-2.339809e+00
1.382681487928598e-01	-3.676226e+00	-2.214429e+00
1.384634612928597e-01	-3.676073e+00	-2.055743e+00
1.386587737928597e-01	-3.675920e+00	-1.866135e+00
1.388540862928597e-01	-3.675767e+00	-1.648459e+00
1.390493987928597e-01	-3.675615e+00	-1.405989e+00
1.392447112928597e-01	-3.675462e+00	-1.142372e+00
1.394400237928597e-01	-3.675309e+00	-8.615722e-01
1.396353362928597e-01	-3.675156e+00	-5.678136e-01
1.398306487928597e-01	-3.675004e+00	-2.655146e-01
1.400259612928597e-01	-3.674851e+00	4.077810e-02
1.402212737928596e-01	-3.674698e+00	3.464574e-01
1.404165862928596e-01	-3.674546e+00	6.469257e-01
1.406118987928596e-01	-3.674393e+00	9.376636e-01
1.408072112928596e-01	-3.674240e+00	1.214298e+00
1.410025237928596e-01	-3.674088e+00	1.472669e+00
1.411978362928596e-01	-3.673935e+00	1.708889e+00
1.413931487928596e-01	-3.673782e+00	1.919405e+00
1.415884612928596e-01	-3.673630e+00	2.101053e+00
1.417837737928596e-01	-3.673477e+00	2.251098e+00
1.419790862928595e-01	-3.673324e+00	2.367285e+00
1.421743987928595e-01	-3.673172e+00	2.447865e+00
1.423697112928595e-01	-3.673019e+00	2.491628e+00
1.425650237928595e-01	-3.672866e+00	2.497914e+00
1.427558680818621e-01	-3.672717e+00	2.467762e+00
1.429511805818621e-01	-3.672565e+00	2.400216e+00
1.431464930818621e-01	-3.672412e+00	2.296569e+00
1.433418055818621e-01	-3.672259e+00	2.158379e+00
1.435371180818621e-01	-3.672107e+00	1.987725e+00
1.437324305818621e-01	-3.671954e+00	1.787174e+00
1.439277430818620e-01	-3.671802e+00	1.559742e+00
